From_Station,From_Country,To_Station,To_Country,Fare_Rate
Amersfoort Centraal,NL,Arnhem Centraal,NL,51
Breda,NL,Arnhem Centraal,NL,105
Bunnik,NL,Arnhem Centraal,NL,50
Driebergen-Zeist,NL,Arnhem Centraal,NL,46
Diemen,NL,Arnhem Centraal,NL,89
Dronten,NL,Arnhem Centraal,NL,108
Delft,NL,Arnhem Centraal,NL,127
Deventer,NL,Arnhem Centraal,NL,45
Ede-Wageningen,NL,Arnhem Centraal,NL,17
Ede Centrum,NL,Arnhem Centraal,NL,19
Eindhoven Centraal,NL,Arnhem Centraal,NL,94
Enschede,NL,Arnhem Centraal,NL,82
Groningen,NL,Arnhem Centraal,NL,182
Haarlem,NL,Arnhem Centraal,NL,115
Heerlen,NL,Arnhem Centraal,NL,27
Hilversum,NL,Arnhem Centraal,NL,67
Leiden Centraal,NL,Arnhem Centraal,NL,108
Leeuwarden,NL,Arnhem Centraal,NL,171
Maarn,NL,Arnhem Centraal,NL,38
Nijmegen,NL,Arnhem Centraal,NL,19
Rheden,NL,Arnhem Centraal,NL,10
Rotterdam Centraal,NL,Arnhem Centraal,NL,114
Tilburg,NL,Arnhem Centraal,NL,84
Utrecht Centraal,NL,Arnhem Centraal,NL,58
Vlissingen,NL,Arnhem Centraal,NL,204
Zwolle,NL,Arnhem Centraal,NL,76
Arnhem Centraal,NL,Amsterdam Centraal,NL,96
Amersfoort Centraal,NL,Amsterdam Centraal,NL,45
Breda,NL,Amsterdam Centraal,NL,130
Bunnik,NL,Amsterdam Centraal,NL,47
Driebergen-Zeist,NL,Amsterdam Centraal,NL,51
Diemen,NL,Amsterdam Centraal,NL,7
Dronten,NL,Amsterdam Centraal,NL,79
Delft,NL,Amsterdam Centraal,NL,72
Deventer,NL,Amsterdam Centraal,NL,103
Ede-Wageningen,NL,Amsterdam Centraal,NL,79
Ede Centrum,NL,Amsterdam Centraal,NL,77
Eindhoven Centraal,NL,Amsterdam Centraal,NL,119
Enschede,NL,Amsterdam Centraal,NL,159
Groningen,NL,Amsterdam Centraal,NL,217
Haarlem,NL,Amsterdam Centraal,NL,19
Heerlen,NL,Amsterdam Centraal,NL,123
Hilversum,NL,Amsterdam Centraal,NL,29
Leiden Centraal,NL,Amsterdam Centraal,NL,48
Leeuwarden,NL,Amsterdam Centraal,NL,206
Maarn,NL,Amsterdam Centraal,NL,59
Nijmegen,NL,Amsterdam Centraal,NL,115
Rheden,NL,Amsterdam Centraal,NL,106
Rotterdam Centraal,NL,Amsterdam Centraal,NL,86
Tilburg,NL,Amsterdam Centraal,NL,109
Utrecht Centraal,NL,Amsterdam Centraal,NL,39
Vlissingen,NL,Amsterdam Centraal,NL,219
Zwolle,NL,Amsterdam Centraal,NL,111
Arnhem Centraal,NL,Breda,NL,105
Amersfoort Centraal,NL,Breda,NL,112
Bunnik,NL,Breda,NL,97
Driebergen-Zeist,NL,Breda,NL,101
Diemen,NL,Breda,NL,129
Dronten,NL,Breda,NL,189
Delft,NL,Breda,NL,64
Deventer,NL,Breda,NL,150
Ede-Wageningen,NL,Breda,NL,122
Ede Centrum,NL,Breda,NL,124
Eindhoven Centraal,NL,Breda,NL,58
Enschede,NL,Breda,NL,187
Groningen,NL,Breda,NL,284
Haarlem,NL,Breda,NL,117
Heerlen,NL,Breda,NL,132
Hilversum,NL,Breda,NL,109
Leiden Centraal,NL,Breda,NL,88
Leeuwarden,NL,Breda,NL,273
Maarn,NL,Breda,NL,109
Nijmegen,NL,Breda,NL,86
Rheden,NL,Breda,NL,115
Rotterdam Centraal,NL,Breda,NL,50
Tilburg,NL,Breda,NL,21
Utrecht Centraal,NL,Breda,NL,91
Vlissingen,NL,Breda,NL,99
Zwolle,NL,Breda,NL,178
Arnhem Centraal,NL,Bunnik,NL,50
Amersfoort Centraal,NL,Bunnik,NL,29
Breda,NL,Bunnik,NL,97
Driebergen-Zeist,NL,Bunnik,NL,4
Diemen,NL,Bunnik,NL,46
Dronten,NL,Bunnik,NL,106
Delft,NL,Bunnik,NL,77
Deventer,NL,Bunnik,NL,87
Ede-Wageningen,NL,Bunnik,NL,33
Ede Centrum,NL,Bunnik,NL,35
Eindhoven Centraal,NL,Bunnik,NL,86
Enschede,NL,Bunnik,NL,132
Groningen,NL,Bunnik,NL,201
