From_Station,From_City,From_Country,To_Station,To_City,To_Country,Fare_Rate
Delft,Delft,NL,Amsterdam Centraal,Amsterdam,NL,72
Ede-Wageningen,Wageningen,NL,Amsterdam Centraal,Amsterdam,NL,79
Eindhoven Centraal,Eindhoven,NL,Amsterdam Centraal,Amsterdam,NL,119
Enschede,Enschede,NL,Amsterdam Centraal,Amsterdam,NL,159
Groningen,Groningen,NL,Amsterdam Centraal,Amsterdam,NL,217
Heerlen,Heerlen,NL,Amsterdam Centraal,Amsterdam,NL,123
Leiden Centraal,Leiden,NL,Amsterdam Centraal,Amsterdam,NL,48
Maastricht,Maastricht,NL,Amsterdam Centraal,Amsterdam,NL,149
Nijmegen,Nijmegen,NL,Amsterdam Centraal,Amsterdam,NL,115
Rotterdam Centraal,Rotterdam,NL,Amsterdam Centraal,Amsterdam,NL,86
Tilburg,Tilburg,NL,Amsterdam Centraal,Amsterdam,NL,109
Utrecht Centraal,Utrecht,NL,Amsterdam Centraal,Amsterdam,NL,39
Amsterdam Centraal,Amsterdam,NL,Delft,Delft,NL,72
Ede-Wageningen,Wageningen,NL,Delft,Delft,NL,110
Eindhoven Centraal,Eindhoven,NL,Delft,Delft,NL,122
Enschede,Enschede,NL,Delft,Delft,NL,204
Groningen,Groningen,NL,Delft,Delft,NL,262
Heerlen,Heerlen,NL,Delft,Delft,NL,154
Leiden Centraal,Leiden,NL,Delft,Delft,NL,24
Maastricht,Maastricht,NL,Delft,Delft,NL,180
Nijmegen,Nijmegen,NL,Delft,Delft,NL,136
Rotterdam Centraal,Rotterdam,NL,Delft,Delft,NL,14
Tilburg,Tilburg,NL,Delft,Delft,NL,85
Utrecht Centraal,Utrecht,NL,Delft,Delft,NL,69
Amsterdam Centraal,Amsterdam,NL,Ede-Wageningen,Wageningen,NL,79
Delft,Delft,NL,Ede-Wageningen,Wageningen,NL,110
Eindhoven Centraal,Eindhoven,NL,Ede-Wageningen,Wageningen,NL,111
Enschede,Enschede,NL,Ede-Wageningen,Wageningen,NL,99
Groningen,Groningen,NL,Ede-Wageningen,Wageningen,NL,199
Heerlen,Heerlen,NL,Ede-Wageningen,Wageningen,NL,44
Leiden Centraal,Leiden,NL,Ede-Wageningen,Wageningen,NL,91
Maastricht,Maastricht,NL,Ede-Wageningen,Wageningen,NL,70
Nijmegen,Nijmegen,NL,Ede-Wageningen,Wageningen,NL,36
Rotterdam Centraal,Rotterdam,NL,Ede-Wageningen,Wageningen,NL,97
Tilburg,Tilburg,NL,Ede-Wageningen,Wageningen,NL,101
Utrecht Centraal,Utrecht,NL,Ede-Wageningen,Wageningen,NL,41
Amsterdam Centraal,Amsterdam,NL,Eindhoven Centraal,Eindhoven,NL,119
Delft,Delft,NL,Eindhoven Centraal,Eindhoven,NL,122
Ede-Wageningen,Wageningen,NL,Eindhoven Centraal,Eindhoven,NL,111
Enschede,Enschede,NL,Eindhoven Centraal,Eindhoven,NL,176
Groningen,Groningen,NL,Eindhoven Centraal,Eindhoven,NL,273
Heerlen,Heerlen,NL,Eindhoven Centraal,Eindhoven,NL,96
Leiden Centraal,Leiden,NL,Eindhoven Centraal,Eindhoven,NL,130
Maastricht,Maastricht,NL,Eindhoven Centraal,Eindhoven,NL,98
Nijmegen,Nijmegen,NL,Eindhoven Centraal,Eindhoven,NL,75
Rotterdam Centraal,Rotterdam,NL,Eindhoven Centraal,Eindhoven,NL,108
Tilburg,Tilburg,NL,Eindhoven Centraal,Eindhoven,NL,37
Utrecht Centraal,Utrecht,NL,Eindhoven Centraal,Eindhoven,NL,80
Amsterdam Centraal,Amsterdam,NL,Enschede,Enschede,NL,159
Delft,Delft,NL,Enschede,Enschede,NL,204
Ede-Wageningen,Wageningen,NL,Enschede,Enschede,NL,99
Eindhoven Centraal,Eindhoven,NL,Enschede,Enschede,NL,176
Groningen,Groningen,NL,Enschede,Enschede,NL,173
Heerlen,Heerlen,NL,Enschede,Enschede,NL,107
Leiden Centraal,Leiden,NL,Enschede,Enschede,NL,185
Maastricht,Maastricht,NL,Enschede,Enschede,NL,133
Nijmegen,Nijmegen,NL,Enschede,Enschede,NL,101
Rotterdam Centraal,Rotterdam,NL,Enschede,Enschede,NL,191
Tilburg,Tilburg,NL,Enschede,Enschede,NL,166
Utrecht Centraal,Utrecht,NL,Enschede,Enschede,NL,135
Amsterdam Centraal,Amsterdam,NL,Groningen,Groningen,NL,217
Delft,Delft,NL,Groningen,Groningen,NL,262
Ede-Wageningen,Wageningen,NL,Groningen,Groningen,NL,199
Eindhoven Centraal,Eindhoven,NL,Groningen,Groningen,NL,273
Enschede,Enschede,NL,Groningen,Groningen,NL,173
Heerlen,Heerlen,NL,Groningen,Groningen,NL,207
Leiden Centraal,Leiden,NL,Groningen,Groningen,NL,243
Maastricht,Maastricht,NL,Groningen,Groningen,NL,233
Nijmegen,Nijmegen,NL,Groningen,Groningen,NL,201
Rotterdam Centraal,Rotterdam,NL,Groningen,Groningen,NL,249
Tilburg,Tilburg,NL,Groningen,Groningen,NL,263
Utrecht Centraal,Utrecht,NL,Groningen,Groningen,NL,193
Amsterdam Centraal,Amsterdam,NL,Heerlen,Heerlen,NL,123
Delft,Delft,NL,Heerlen,Heerlen,NL,154
Ede-Wageningen,Wageningen,NL,Heerlen,Heerlen,NL,44
Eindhoven Centraal,Eindhoven,NL,Heerlen,Heerlen,NL,96
Enschede,Enschede,NL,Heerlen,Heerlen,NL,107
Groningen,Groningen,NL,Heerlen,Heerlen,NL,207
Leiden Centraal,Leiden,NL,Heerlen,Heerlen,NL,135
Maastricht,Maastricht,NL,Heerlen,Heerlen,NL,26
