From_Station,From_City,To_Station,To_City,Fare_Rate
Amsterdam Centraal,Amsterdam,Arnhem Centraal,Arnhem,96
Amsterdam Centraal,Amsterdam,Breda,Breda,130
Amsterdam Centraal,Amsterdam,Bunnik,Bunnik,47
Amsterdam Centraal,Amsterdam,Delft,Delft,72
Amsterdam Centraal,Amsterdam,Deventer,Deventer,103
Amsterdam Centraal,Amsterdam,Diemen,Diemen,7
Amsterdam Centraal,Amsterdam,Driebergen-Zeist,Zeist,51
Amsterdam Centraal,Amsterdam,Dronten,Dronten,79
Amsterdam Centraal,Amsterdam,Ede Centrum,Ede,77
Amsterdam Centraal,Amsterdam,Ede-Wageningen,Wageningen,79
Amsterdam Centraal,Amsterdam,Eindhoven Centraal,Eindhoven,119
Amsterdam Centraal,Amsterdam,Enschede,Enschede,159
Amsterdam Centraal,Amsterdam,Groningen,Groningen,217
Amsterdam Centraal,Amsterdam,Haarlem,Haarlem,19
Amsterdam Centraal,Amsterdam,Harlingen,Harlingen,232
Amsterdam Centraal,Amsterdam,Heerlen,Heerlen,123
Amsterdam Centraal,Amsterdam,Hilversum,Hilversum,29
Amsterdam Centraal,Amsterdam,Leeuwarden,Leeuwarden,206
Amsterdam Centraal,Amsterdam,Leiden Centraal,Leiden,48
Amsterdam Centraal,Amsterdam,Maarn,Utrechtse Heuvelrug,59
Amsterdam Centraal,Amsterdam,Maastricht,Maastricht,149
Amsterdam Centraal,Amsterdam,Nijmegen,Nijmegen,115
Amsterdam Centraal,Amsterdam,Rheden,Rheden,106
Amsterdam Centraal,Amsterdam,Rotterdam Centraal,Rotterdam,86
Amsterdam Centraal,Amsterdam,Tilburg,Tilburg,109
Amsterdam Centraal,Amsterdam,Utrecht Centraal,Utrech,39
Amsterdam Centraal,Amsterdam,Vlissingen,Vlissingen,219
Amsterdam Centraal,Amsterdam,Zwolle,Zwolle,111
Arnhem Centraal,Arnhem,Amsterdam Centraal,Amsterdam,96
Arnhem Centraal,Arnhem,Breda,Breda,105
Arnhem Centraal,Arnhem,Bunnik,Bunnik,50
Arnhem Centraal,Arnhem,Delft,Delft,127
Arnhem Centraal,Arnhem,Deventer,Deventer,45
Arnhem Centraal,Arnhem,Diemen,Diemen,89
Arnhem Centraal,Arnhem,Driebergen-Zeist,Zeist,46
Arnhem Centraal,Arnhem,Dronten,Dronten,108
Arnhem Centraal,Arnhem,Ede Centrum,Ede,19
Arnhem Centraal,Arnhem,Ede-Wageningen,Wageningen,17
Arnhem Centraal,Arnhem,Eindhoven Centraal,Eindhoven,94
Arnhem Centraal,Arnhem,Enschede,Enschede,82
Arnhem Centraal,Arnhem,Groningen,Groningen,182
Arnhem Centraal,Arnhem,Haarlem,Haarlem,115
Arnhem Centraal,Arnhem,Harlingen,Harlingen,197
Arnhem Centraal,Arnhem,Heerlen,Heerlen,27
Arnhem Centraal,Arnhem,Hilversum,Hilversum,67
Arnhem Centraal,Arnhem,Leeuwarden,Leeuwarden,171
Arnhem Centraal,Arnhem,Leiden Centraal,Leiden,108
Arnhem Centraal,Arnhem,Maarn,Utrechtse Heuvelrug,38
Arnhem Centraal,Arnhem,Maastricht,Maastricht,53
Arnhem Centraal,Arnhem,Nijmegen,Nijmegen,19
Arnhem Centraal,Arnhem,Rheden,Rheden,10
Arnhem Centraal,Arnhem,Rotterdam Centraal,Rotterdam,114
Arnhem Centraal,Arnhem,Tilburg,Tilburg,84
Arnhem Centraal,Arnhem,Utrecht Centraal,Utrech,58
Arnhem Centraal,Arnhem,Vlissingen,Vlissingen,204
Arnhem Centraal,Arnhem,Zwolle,Zwolle,76
Breda,Breda,Amsterdam Centraal,Amsterdam,130
Breda,Breda,Arnhem Centraal,Arnhem,105
Breda,Breda,Bunnik,Bunnik,97
