NAME,Station Name,fid,statcode,jrstatcode,rubriek,id,NUMPOINTS,Check,Number of amenities,z-score AMENITIES,Number of Registered Crime,z-score CRIME,Percentage Green,z-score GREEN,Households,z-score HOUSEHOLDS,Additional housing costs (euro),z-score ADDITIONAL_HOUSING_COST,Net housing costs (Euro),z-score NET_HOUSING_COST,Total housing costs (Euro),z-score TOTAL_HOUSING_COST,housing ratio (%),z-score HOUSING RATIO,Number of students,z-score NUMBER OF STUDENTS
Amsterdam,Amsterdam Centraal,107,GM0363,2024GM0363,gemeente,128,11,1,397,-1.28,95.6,2.67,2552482474,-1.65,383.8,3.50,133,-1.29,746,2.28,879,1.84,25.7,2.37,130062,3.12
Arnhem,Arnhem Centraal,45,GM0202,2024GM0202,gemeente,55,4,1,1233,0.40,68.1,0.51,3521120482,-0.04,70.2,-0.24,146,-0.55,604,-0.24,750,-0.40,23.3,0.21,11272,-0.79
Breda,Breda,197,GM0758,2024GM0758,gemeente,253,2,1,1322,0.57,57.7,-0.30,4661285714,1.85,77.7,-0.15,179,1.35,651,0.60,830,0.99,22.7,-0.34,21544,-0.45
Delft,Delft,144,GM0503,2024GM0503,gemeente,183,2,1,1266,0.46,55.2,-0.50,3933877778,0.65,42,-0.57,152,-0.20,599,-0.33,750,-0.40,23.2,0.12,29350,-0.19
Deventer,Deventer,26,GM0150,2024GM0150,gemeente,33,2,1,1039,0.01,47,-1.14,4042811594,0.83,42.9,-0.56,171,0.89,605,-0.22,776,0.05,22.7,-0.34,8501,-0.88
Ede,Ede Centrum,55,GM0228,2024GM0228,gemeente,65,4,1,208,-1.66,42.8,-1.47,4240521127,1.15,46,-0.53,175,1.12,614,-0.06,789,0.28,20.8,-2.05,4604,-1.01
Eindhoven,Eindhoven Centraal,202,GM0772,2024GM0772,gemeente,258,2,1,1383,0.70,77.8,1.27,3487844828,-0.09,102.7,0.15,146,-0.55,634,0.29,780,0.12,23,-0.06,37009,0.06
Enschede,Enschede,27,GM0153,2024GM0153,gemeente,34,4,1,829,-0.42,56.5,-0.40,37422,0.33,66.3,-0.28,179,1.35,550,-1.19,729,-0.76,24.2,1.02,28909,-0.21
Groningen,Groningen,1,GM0014,2024GM0014,gemeente,1,4,1,1921,1.78,63.8,0.18,36.93,0.25,100,0.12,137,-1.06,579,-0.68,716,-0.99,23.6,0.48,63023,0.91
Haarlem,Haarlem,116,GM0392,2024GM0392,gemeente,145,2,1,1256,0.44,50.9,-0.83,2813675676,-1.21,70.6,-0.23,175,1.12,694,1.36,869,1.67,23.7,0.57,4906,-1.00
Heerlen,Heerlen,238,GM0917,2024GM0917,gemeente,296,3,2,651,-0.77,65.2,0.29,4461561404,1.52,42.2,-0.57,160,0.26,513,-1.85,673,-1.73,24,0.84,5066,-0.99
Hilversum,Hilversum,122,GM0402,2024GM0402,gemeente,153,3,1,1096,0.12,47.9,-1.07,3950581395,0.67,39.3,-0.61,190,1.98,672,0.97,862,1.55,23.2,0.12,Nan,Nan
Leeuwarden,Leeuwarden,10,GM0080,2024GM0080,gemeente,14,4,1,1255,0.44,57.1,-0.35,3321954545,-0.37,56.6,-0.40,154,-0.09,513,-1.85,667,-1.84,22,-0.97,22081,-0.43
Leiden,Leiden Centraal,155,GM0546,2024GM0546,gemeente,198,3,1,1452,0.84,51.2,-0.81,2733814815,-1.34,52.2,-0.45,161,0.31,641,0.42,801,0.49,23.5,0.39,38110,0.09
Maastricht,Maastricht,240,GM0935,2024GM0935,gemeente,298,3,1,1860,1.65,65.8,0.33,3898659091,0.59,51.1,-0.47,169,0.77,593,-0.43,762,-0.19,24.9,1.65,26986,-0.27
Nijmegen,Nijmegen,66,GM0268,2024GM0268,gemeente,80,5,1,1329,0.59,63.4,0.15,3418590909,-0.21,73.1,-0.20,127,-1.64,625,0.14,752,-0.36,22.5,-0.52,48967,0.45
Rotterdam,Rotterdam Centraal,165,GM0599,2024GM0599,gemeente,210,7,1,1266,0.46,77.9,1.28,3024217391,-0.86,276.2,2.22,137,-1.06,598,-0.34,735,-0.66,23.7,0.57,76740,1.36
Tilburg,Tilburg,223,GM0855,2024GM0855,gemeente,281,3,1,332,-1.41,59.7,-0.14,3908250996,0.60,91.7,0.02,145,-0.60,593,-0.43,738,-0.61,22.1,-0.88,32420,-0.09
Utrecht,Utrecht Centraal,97,GM0344,2024GM0344,gemeente,117,9,1,127,-1.83,77.7,1.27,2769333333,-1.29,139.1,0.58,136,-1.12,714,1.71,850,1.34,22.1,-0.88,76491,1.36
Wageningen,Ede-Wageningen,75,GM0289,2024GM0289,gemeente,91,0,2,388,-1.30,Nan,Nan,Nan,Nan,14.1,-0.91,150,-0.32,613,-0.08,764,-0.15,21.8,-1.15,13388,-0.72
Zwolle,Zwolle,42,GM0193,2024GM0193,gemeente,52,2,1,1146,0.22,49.6,-0.94,2711538462,-1.38,55.6,-0.41,144,-0.66,614,-0.06,758,-0.26,21.8,-1.15,25236,-0.33
